code,manufacturer,description,type,locale,is_generic,source_file
P1259,ACURA,VTEC System Malfunction Rear Bank 1,P,en,0,acura_codes
P1279,ACURA,VTEC System Malfunction Front Bank 2,P,en,0,acura_codes
P1297,ACURA,ELD Circuit Low Input,P,en,0,acura_codes
P1298,ACURA,Electrical Load Detector Circuit High Voltage,P,en,0,acura_codes
P1300,ACURA,Random Misfire,P,en,0,acura_codes
P1301,ACURA,Cylinder 1 Misfire,P,en,0,acura_codes
P1302,ACURA,Cylinder 2 Misfire,P,en,0,acura_codes
P1303,ACURA,Cylinder 3 Misfire,P,en,0,acura_codes
P1304,ACURA,Cylinder 4 Misfire,P,en,0,acura_codes
P1305,ACURA,Cylinder 5 Misfire,P,en,0,acura_codes
P1306,ACURA,Cylinder 6 Misfire,P,en,0,acura_codes
P1316,ACURA,Spark Plug Voltage Detection Circuit Malfunction Front Bank,P,en,0,acura_codes
P1317,ACURA,Spark Plug Voltage Detection Circuit Malfunction Rear Bank,P,en,0,acura_codes
P1318,ACURA,Spark Plug Voltage Detection Module Reset Circuit Malfunction Front Bank,P,en,0,acura_codes
P1319,ACURA,Spark Plug Voltage Detection Module Reset Circuit Malfunction Rear Bank,P,en,0,acura_codes
P1324,ACURA,Knock Sensor Power Source Circuit Low Voltage,P,en,0,acura_codes
P1336,ACURA,CKP Sensor B Range Performance,P,en,0,acura_codes
P1337,ACURA,CKP Sensor B Low Input,P,en,0,acura_codes
P1359,ACURA,CKP TDC Sensor Circuit Connector Disconnection,P,en,0,acura_codes
P1361,ACURA,TDC Sensor Intermittent Interruption,P,en,0,acura_codes
P1362,ACURA,TDC1 Sensor No Signal,P,en,0,acura_codes
P1366,ACURA,TDC2 Sensor Intermittent,P,en,0,acura_codes
P1367,ACURA,TDC2 Sensor No Signal,P,en,0,acura_codes
P1381,ACURA,CYP Sensor A Intermittent Interruption,P,en,0,acura_codes
P1382,ACURA,CYP Sensor A No Signal,P,en,0,acura_codes
P1386,ACURA,CYP Sensor B Intermittent Interruption,P,en,0,acura_codes
P1387,ACURA,CYP Sensor B No Signal,P,en,0,acura_codes
P1456,ACURA,Evaporative Emission Control System Leak Detected Fuel Tank System,P,en,0,acura_codes
P1457,ACURA,Evaporative Emission Control System Leak Detected Control Canister System,P,en,0,acura_codes
P1459,ACURA,EVAP Purge Flow Switch Malfunction,P,en,0,acura_codes
P1491,ACURA,EGR Valve Lift Insufficient Detected,P,en,0,acura_codes
P1498,ACURA,EGR Valve Lift Sensor High Voltage,P,en,0,acura_codes
P1508,ACURA,IAC Valve Circuit Failure,P,en,0,acura_codes
P1519,ACURA,IAC Valve Circuit Failure,P,en,0,acura_codes
P1607,ACURA,ECM Internal Circuit Failure A,P,en,0,acura_codes
P1608,ACURA,ECM Internal Circuit Failure B,P,en,0,acura_codes
P1655,ACURA,TMA Or TMB Signal Line Fault,P,en,0,acura_codes
P1656,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P1660,ACURA,A/T FI Data Line Failure,P,en,0,acura_codes
P1671,ACURA,A/T FI Data Line No Signal,P,en,0,acura_codes
P1672,ACURA,A/T FI Data Line Failure,P,en,0,acura_codes
P1676,ACURA,Traction Control System FI Data Line No Signal,P,en,0,acura_codes
P1677,ACURA,Traction Control System FI Data Line Failure,P,en,0,acura_codes
P1678,ACURA,FPTDR Signal Line Failure,P,en,0,acura_codes
P1681,ACURA,A/T FI Signal A Low Input,P,en,0,acura_codes
P1682,ACURA,A/T FI Signal A High Input,P,en,0,acura_codes
P1686,ACURA,A/T FI Signal B Low Input,P,en,0,acura_codes
P1687,ACURA,A/T FI Signal B High Input,P,en,0,acura_codes
P1690,ACURA,Traction Control System STB Line Failure,P,en,0,acura_codes
P1696,ACURA,Traction Control Fuel Cut Signal Low Input,P,en,0,acura_codes
P1697,ACURA,Traction Control Fuel Cut Signal High Input,P,en,0,acura_codes
P1705,ACURA,TCM A/T Gear Position Switch Circuit Shorted,P,en,0,acura_codes
P1706,ACURA,TCM A/T Gear Position Switch Circuit Open,P,en,0,acura_codes
P1753,ACURA,TCM A/T Lockup Solenoid Valve A Fault,P,en,0,acura_codes
P1758,ACURA,TCM A/T Lockup Solenoid Valve B Fault,P,en,0,acura_codes
P1790,ACURA,TCM A/T TP Sensor Circuit Fault,P,en,0,acura_codes
P1791,ACURA,TCM A/T Vehicle Speed Sensor Circuit Fault,P,en,0,acura_codes
P1709,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P1738,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P1739,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P1768,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P1773,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P1788,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P1793,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P1795,ACURA,Automatic Transmission System Malfunction,P,en,0,acura_codes
P0010,AUDI,"Powertrain Control Module (PCM) failure, Variable valve timing actuator failure, Wiring issue",P,en,0,audi_codes
P0011,AUDI,"Camshaft variable timing solenoid failure, Engine oil level is too low, The engine is not timed correctly, The engine oil does not meet the manufacturer's requirements, Variable valve timing actuator failure, Worn timing chain",P,en,0,audi_codes
P0012,AUDI,"Camshaft variable timing solenoid failure, Engine oil level is too low, The engine is not timed correctly, The engine oil does not meet the manufacturer's requirements, Variable valve timing actuator failure, Worn timing chain",P,en,0,audi_codes
P0013,AUDI,"Powertrain Control Module (PCM) failure, Variable valve timing actuator failure, Wiring issue",P,en,0,audi_codes
P0014,AUDI,"Camshaft variable timing solenoid failure, Engine oil level is too low, The engine is not timed correctly, The engine oil does not meet the manufacturer's requirements, Variable valve timing actuator failure, Worn timing chain",P,en,0,audi_codes
P0101,AUDI,"Large vacuum leaks, Split Intake Air Boot or PCV Hose, Defective intake manifold gaskets, Mass Airflow Sensor (MAF), Mass Air Flow Sensor circuit and or wiring problems, Defective Barometric Pressure Sensor, Dirty or contaminated Mass Air Flow Sensing wire or filament, PCM software needs to be updated",P,en,0,audi_codes
P0102,AUDI,"The Mass Airflow Sensor (MAF) Sensor is unplugged or the wiring is damaged, Loose or corroded electrical terminals in the MAF Sensor circuit, Faulty MAF Sensor",P,en,0,audi_codes
P0113,AUDI,"Defective Intake Air Temperature Sensor, Dirty air filter, Defective Mass Air Flow Sensor, Faulty or corroded Intake Air Temperature Sensor wiring or connections",P,en,0,audi_codes
P0128,AUDI,"Defective Engine Thermostat, Defective Engine Coolant Temperature Sensor, Defective Intake Air Temperature Sensor, Defective Cooling System, Low Engine Coolant, Dirty Engine Coolant causing incorrect Coolant Temperature Sensor readings, Defective/always running Engine Cooling fan(s)",P,en,0,audi_codes
P0135,AUDI,"Defective Oxygen Sensor/Air Fuel Ratio Sensor, defective Oxygen Sensor/Air Fuel Ratio Sensor Heater Circuit, Exhaust System Leak, Intake Air System leak, Low Fuel Pressure, Defective Engine Coolant Temperature Sensor, Defective sensor wiring and or circuit problem, PCM software needs to be updated, Defective PCM",P,en,0,audi_codes
P0171,AUDI,"Control module software needs to be updated, Vacuum leaks (intake manifold gaskets, vacuum hoses, PCV hoses, etc.), Mass air flow sensor, Plugged fuel filter or weak fuel pump, Plugged or dirty fuel injectors",P,en,0,audi_codes
P0174,AUDI,"PCM software needs to be updated, Vacuum leaks (Intake Manifold Gaskets, vacuum hoses, PCV hoses, etc.), Faulty Mass Airflow (MAF) Sensor, Plugged Fuel Filter or weak Fuel Pump, Plugged or dirty Fuel Injectors",P,en,0,audi_codes
P0200,AUDI,"Defective Fuel Injector, Faulty or corroded Fuel Injector, wiring, and or connections, Plugged Fuel Injector, Dirt in the Fuel Injector",P,en,0,audi_codes
P0201,AUDI,"Defective Fuel Injector, Faulty or corroded Fuel Injector, wiring, and or connections, Plugged Fuel Injector, Dirt in the Fuel Injector",P,en,0,audi_codes
P0202,AUDI,"Malfunction of the Fuel Injector, Malfunction of the PCM Fuel Injector driver circuit, Defective wiring/connections in the Fuel Injector wiring harness, Defective Fuel Injector power circuit(s)",P,en,0,audi_codes
P0203,AUDI,"Fuel injector failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P0205,AUDI,"Fuel injector failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P0300,AUDI,"Worn out spark plugs, ignition wires, coil(s), distributor cap and rotor (when applicable), Incorrect ignition timing, Vacuum leak(s), Low or weak fuel pressure, Improperly functioning EGR system, Defective Mass Air Flow Sensor, Defective Crankshaft and or Camshaft Sensor, Defective Throttle Position Sensor, Mechanical engine problems (i.e.—low compression, leaking head gasket(s), or valve problems)",P,en,0,audi_codes
P0301,AUDI,"Worn out spark plugs, ignition wires, coil(s), distributor cap and rotor (when applicable), Incorrect ignition timing, Vacuum leak(s), Low or weak fuel pressure, Improperly functioning EGR system, Defective Mass Air Flow Sensor, Defective Crankshaft and or Camshaft Sensor, Defective Throttle Position Sensor, Mechanical engine problems (i.e.—low compression, leaking head gasket(s), or valve problems)",P,en,0,audi_codes
P0302,AUDI,"Worn out spark plugs, ignition wires, coil(s), distributor cap and rotor (when applicable), Incorrect ignition timing, Vacuum leak(s), Low or weak fuel pressure, Improperly functioning EGR system, Defective Mass Air Flow Sensor, Defective Crankshaft and or Camshaft Sensor, Defective Throttle Position Sensor, Mechanical engine problems (i.e.—low compression, leaking head gasket(s), or valve problems)",P,en,0,audi_codes
P0303,AUDI,"Worn out spark plugs, ignition wires, coil(s), distributor cap and rotor (when applicable), Incorrect ignition timing, Vacuum leak(s), Low or weak fuel pressure, Improperly functioning EGR system, Defective Mass Air Flow Sensor, Defective Crankshaft and or Camshaft Sensor, Defective Throttle Position Sensor, Mechanical engine problems (i.e.—low compression, leaking head gasket(s), or valve problems)",P,en,0,audi_codes
P0304,AUDI,"Worn out spark plugs, ignition wires, coil(s), distributor cap and rotor (when applicable), Incorrect ignition timing, Vacuum leak(s), Low or weak fuel pressure, Improperly functioning EGR system, Defective Mass Air Flow Sensor, Defective Crankshaft and or Camshaft Sensor, Defective Throttle Position Sensor, Mechanical engine problems (i.e.—low compression, leaking head gasket(s), or valve problems)",P,en,0,audi_codes
P0401,AUDI,"Restriction in the EGR passages usually caused by carbon buildup, The EGR Valve is defective, Lack of proper vacuum or electrical signal to the EGR valve, Malfunctioning EGR Vacuum supply solenoid, Lack of proper EGR system feedback to the computer from the: Manifold Absolute Pressure Sensor (MAP), Differential EGR Pressure Feedback Sensor (DPFE), EGR Valve Position Sensor (EVP), EGR Temperature Sensor",P,en,0,audi_codes
P0420,AUDI,"Inefficient Catalytic Converter(s), Defective Front or Rear Oxygen Sensor(s), Misfiring engines",P,en,0,audi_codes
P0430,AUDI,"Defective Catalytic Converter, Internal engine damage resulting in high oil consumption and or a leaking Head Gasket has damaged the Catalytic Converter",P,en,0,audi_codes
P0440,AUDI,"Missing fuel cap, Defective or damaged fuel cap, Distorted or damaged Fuel Tank Filler Neck, Torn or punctured Evaporative system hose(s), Defective Fuel Tank Sending Unit gasket or seal, Split or damaged Carbon Canister, Defective Evaporative Vent Valve and or Evaporative Purge Valve, Defective or damaged fuel tank",P,en,0,audi_codes
P0441,AUDI,"Missing fuel cap, Stuck open or closed purge valve, Defective or damaged fuel cap, Distorted damaged or cracked Fuel Tank Filler Neck, Torn or punctured Evaporative system hose(s), Defective Fuel Tank Sending Unit gasket or seal, Split or damaged Carbon Canister, Defective Evaporative Vent Valve, Defective or damaged fuel tank",P,en,0,audi_codes
P0442,AUDI,"Defective or damaged fuel cap, Distorted or damaged Fuel Tank Filler Neck, Small tear or puncture in the Evaporative system hose(s) and or Carbon Canister, Defective Fuel Tank Sending Unit gasket or seal, Small split in a seam of the Carbon Canister, Defective Evaporative Vent Valve and or Evaporative Purge Valve, Defective or damaged Fuel Tank, Defective Fuel Tank Pressure Sensor, Defective Leak Detection Pump, Slightly loose and or worn clamps or hardened O-rings anywhere in the EVAP system",P,en,0,audi_codes
P0455,AUDI,"Missing fuel cap, Defective or damaged fuel cap, Distorted or damaged Fuel Tank Filler Neck, Torn or punctured Evaporative system hose(s), Defective Fuel Tank Sending Unit gasket or seal, Split or damaged Carbon Canister, Defective Evaporative Vent Valve and or Evaporative Purge Valve, Defective or damaged fuel tank, Defective Fuel Tank Pressure Sensor",P,en,0,audi_codes
P0500,AUDI,"Defective Vehicle Speed Sensor, Defective Speedometer, Vehicle Speed Sensor wiring or connector, Communication (CAN) bus problems, Defective transmission or differential Vehicle Speed Sensor drive gear",P,en,0,audi_codes
P0501,AUDI,"Defective Vehicle Speed Sensor, Defective Speedometer, Vehicle Speed Sensor wiring or connector, Communication (CAN) bus problems, Defective transmission or differential Vehicle Speed Sensor drive gear",P,en,0,audi_codes
P0505,AUDI,"Defective Idle Air Control Motor, Intake Manifold Vacuum leaks, Carbon buildup in the Throttle Body air passages",P,en,0,audi_codes
P0506,AUDI,"Defective or sticking Idle Air Control Motor, Intake Manifold Vacuum leaks, Carbon buildup in the Throttle Body air passages, Defective Power Steering Pressure Switch",P,en,0,audi_codes
P0507,AUDI,"Defective or sticking Idle Air Control Motor, Intake Manifold Vacuum leaks, Carbon buildup in the Throttle Body air passages, Defective Coolant Temperature Sensor, Defective Charging System/Alternator, Defective Power Steering Pressure Switch",P,en,0,audi_codes
P0600,AUDI,"Defective PCM (Power Train Control Module), Defective PCM data bus wiring/connections, Defective PCM data bus ground circuit(s), Defective PCM or other control module controlled output devices, Defective CAN bus communication",P,en,0,audi_codes
P0601,AUDI,"Lack of proper voltage to the PCM, Defective PCM memory module, Defective PCM ground circuit(s), Defective PCM controlled output devices",P,en,0,audi_codes
P0602,AUDI,"Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P0603,AUDI,"Lack of proper voltage to the Keep Alive Memory connection on the PCM, Defective PCM Keep Alive Memory Module (KAM), Defective PCM ground circuit(s), Defective PCM controlled output devices",P,en,0,audi_codes
P0605,AUDI,"Lack of proper voltage and or ground to the PCM, Defective PCM ROM memory module, Defective PCM ground circuit(s), Defective PCM controlled output devices",P,en,0,audi_codes
P0700,AUDI,"Defective Shift Solenoids, Defective Engine Coolant Temperature Sensor, Defective Valve Body, Dirty transmission fluid that restricts the hydraulic passages",P,en,0,audi_codes
P0705,AUDI,"Defective Transmission Range Sensor (PRNDL input), Defective Transmission Range Sensor (PRNDL input) wiring or connector, Defective Valve Body, Defective manual shift valve linkage, Dirty transmission fluid that restricts the hydraulic passages",P,en,0,audi_codes
P0706,AUDI,"Defective Transmission Range Sensor (PRNDL input), Defective Transmission Range Sensor (PRNDL input) wiring or connector, Defective Valve Body, Defective manual shift valve linkage, Dirty transmission fluid that restricts the hydraulic passages",P,en,0,audi_codes
P0720,AUDI,"Defective Output Speed Sensor, Defective Shift Solenoids, Defective Engine Coolant Temperature Sensor, Defective Valve Body, Dirty transmission fluid that restricts the hydraulic passages, Defective Output Speed Sensor wiring or connector",P,en,0,audi_codes
P0730,AUDI,"Defective Shift Solenoids, Defective Engine Coolant Temperature Sensor, Defective Valve Body, Dirty transmission fluid that restricts the hydraulic passages",P,en,0,audi_codes
P0841,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue",P,en,0,audi_codes
P0842,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue",P,en,0,audi_codes
P0845,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue",P,en,0,audi_codes
P0846,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue",P,en,0,audi_codes
P0847,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue",P,en,0,audi_codes
P0901,AUDI,"Clutch master cylinder failure, Clutch solenoid failure, Transmission Control Module (TCM) failure",P,en,0,audi_codes
P0935,AUDI,"Hydraulic power unit assembly failure, Transmission Control Module (TCM) failure, Wiring issue",P,en,0,audi_codes
P0942,AUDI,"Hydraulic power unit assembly failure, Transmission Control Module (TCM) failure, Wiring issue",P,en,0,audi_codes
P0944,AUDI,"Clogged transmission filter, Transmission fluid level is low, Transmission oil pump failure, Wiring issue",P,en,0,audi_codes
P0961,AUDI,Transmission shift solenoid failure,P,en,0,audi_codes
P0A08,AUDI,"Inverter/converter assembly failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P0A0D,AUDI,"High voltage safety device failure, Inverter/converter assembly failure, Power management control module failure, Service disconnect plug is not properly connected, Wiring issue",P,en,0,audi_codes
P0A0F,AUDI,"Hybrid transaxle assembly failure, Internal engine failure, Power management control module failure",P,en,0,audi_codes
P0A7F,AUDI,"Poor connections at the HV battery, A problem with the HV battery, ECU issues",P,en,0,audi_codes
P0A80,AUDI,High voltage battery assembly failure,P,en,0,audi_codes
P0B22,AUDI,"Battery contactor assembly failure, Battery Energy Control Module (BECM) failure",P,en,0,audi_codes
P0B24,AUDI,"Battery Energy Control Module (BECM) failure, High voltage battery assembly failure, Wiring issue",P,en,0,audi_codes
P0B26,AUDI,"Battery Energy Control Module (BECM) failure, High voltage battery assembly failure, Wiring issue",P,en,0,audi_codes
P0B28,AUDI,"Battery Energy Control Module (BECM) failure, High voltage battery assembly failure, Wiring issue",P,en,0,audi_codes
P0B30,AUDI,"Battery Energy Control Module (BECM) failure, High voltage battery assembly failure, Wiring issue",P,en,0,audi_codes
P0C00,AUDI,Drive motor generator power inverter control module failure,P,en,0,audi_codes
P0C09,AUDI,"Drive motor generator assembly failure, Drive motor generator power inverter control module failure",P,en,0,audi_codes
P0C11,AUDI,"Coolant system leak, Drive motor generator power inverter control module failure, Engine cooling fan failure, Water pump failure",P,en,0,audi_codes
P0C14,AUDI,"Coolant system leak, Drive motor generator power inverter control module failure, Engine cooling fan failure, Water pump failure",P,en,0,audi_codes
P0C15,AUDI,"Coolant system leak, Drive motor generator power inverter control module failure, Engine cooling fan failure, Water pump failure",P,en,0,audi_codes
P2000,AUDI,"Diesel Particulate Filter (DPF) failure, Intake air leak, Mass Airflow (MAF) sensor is dirty/loss of calibration",P,en,0,audi_codes
P2004,AUDI,"A failed IMRC actuator, A problem with the intake manifold or linkage, Wiring issues",P,en,0,audi_codes
P2006,AUDI,"Intake manifold runner control actuator failure, Powertrain Control Module (PCM) failure, Restricted vacuum lines",P,en,0,audi_codes
P2101,AUDI,"Accelerator Pedal Position (APP) assembly failure, Powertrain Control Module (PCM) failure, Throttle control motor failure, Wiring issue",P,en,0,audi_codes
P2122,AUDI,"Accelerator Pedal Position (APP) assembly failure, Powertrain Control Module (PCM) failure, Throttle control motor failure, Wiring issue",P,en,0,audi_codes
P2135,AUDI,"Accelerator Pedal Position (APP) assembly failure, Powertrain Control Module (PCM) failure, Throttle Position Sensor (TPS) failure, Wiring issue",P,en,0,audi_codes
P2138,AUDI,"Accelerator Pedal Position (APP) assembly failure, Powertrain Control Module (PCM) failure, Throttle Position Sensor (TPS) failure, Wiring issue",P,en,0,audi_codes
P2181,AUDI,"Engine coolant heater failure, Engine coolant level is too low, Thermostat failure",P,en,0,audi_codes
P2210,AUDI,"NOx sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2213,AUDI,"NOx sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2237,AUDI,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2238,AUDI,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2251,AUDI,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2302,AUDI,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2303,AUDI,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2305,AUDI,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2308,AUDI,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2310,AUDI,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2401,AUDI,"Evap leak detection pump failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2402,AUDI,"Evap leak detection pump failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2422,AUDI,"EVAP vent valve failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2431,AUDI,"Air control solenoid failure, Powertrain Control Module (PCM) failure, Secondary Air System pressure sensor failure, Wiring issue",P,en,0,audi_codes
P2432,AUDI,"Air control solenoid failure, Powertrain Control Module (PCM) failure, Secondary Air System pressure sensor failure, Wiring issue",P,en,0,audi_codes
P2500,AUDI,"Alternator failure, Battery failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2501,AUDI,"Alternator failure, Battery failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2503,AUDI,"Alternator failure, Battery failure, Wiring issue",P,en,0,audi_codes
P2509,AUDI,"Powertrain Control Module (PCM) failure, Powertrain Control Module (PCM) power relay failure, Wiring issue",P,en,0,audi_codes
P250C,AUDI,"Oil level sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2601,AUDI,"Coolant Heat Storage (CHS) water pump failure, Coolant Heat Storage (CHS) water pump relay, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2607,AUDI,"Intake air heater, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2609,AUDI,"Intake air heater, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2610,AUDI,"An internal PCM problem, A problem with the PCM power or ground circuit",P,en,0,audi_codes
P2614,AUDI,"Broken tone ring, Camshaft Position Sensor (CMP) failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2706,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission shift solenoid failure, Wiring issue",P,en,0,audi_codes
P2711,AUDI,"Internal transmission failure, Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission solenoid failure, Wiring issue",P,en,0,audi_codes
P2714,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission shift solenoid failure, Wiring issue",P,en,0,audi_codes
P2716,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission shift solenoid failure, Wiring issue",P,en,0,audi_codes
P2723,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission shift solenoid failure, Wiring issue",P,en,0,audi_codes
P2803,AUDI,"Powertrain Control Module (PCM) failure, Transmission Control Module (TCM) failure, Transmission range sensor failure, Wiring issue",P,en,0,audi_codes
P2806,AUDI,"Powertrain Control Module (PCM) failure, Transmission Control Module (TCM) failure, Transmission range sensor failure, Transmission range sensor is out of adjustment, Wiring issue",P,en,0,audi_codes
P2809,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission pressure control solenoid failure, Wiring issue",P,en,0,audi_codes
P2810,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission pressure control solenoid failure, Wiring issue",P,en,0,audi_codes
P2815,AUDI,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission pressure control solenoid failure, Wiring issue",P,en,0,audi_codes
P2A00,AUDI,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2A01,AUDI,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2A03,AUDI,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2A04,AUDI,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue",P,en,0,audi_codes
P2BA8,AUDI,"Faulty NOx Sensors, NOx Sensors harness is open or shorted, NOx Sensors circuit poor electrical connection, Faulty Diesel Particulate Filter (DPF)",P,en,0,audi_codes
P3000,AUDI,"Fuel level is too low, High voltage battery assembly failure, High voltage battery is not sufficiently charged",P,en,0,audi_codes
P3100,AUDI,High voltage powertrain control module failure,P,en,0,audi_codes
P3400,AUDI,Faulty Cylinder Deactivation System,P,en,0,audi_codes
P3401,AUDI,"Engine oil level is too low, Powertrain Control Module (PCM) failure, Variable valve timing solenoid failure, Wiring issue",P,en,0,audi_codes
B0081,AUDI,"Wiring issues, Control module problems, A problem with the airbag",B,en,0,audi_codes
C0040,AUDI,"A faulty wheel speed sensor, A problem with the wheel speed sensor circuit, Reluctor issues, A problem with the ABS module",C,en,0,audi_codes
U0001,AUDI,"A faulty wheel speed sensor, A problem with the wheel speed sensor circuit, Reluctor issues, A problem with the ABS module",U,en,0,audi_codes
U0073,AUDI,"A faulty control module, A problem with the CAN bus",U,en,0,audi_codes
U0100,AUDI,"A faulty PCM, A problem with the control module circuit, A problem with the CAN bus",U,en,0,audi_codes
